UID          PID    PPID  C STIME TTY          TIME CMD
fusion      1836    1473  0 10:12 ?        00:00:00 /usr/libexec/gsd-datetime
fusion      1839    1473  0 10:12 ?        00:00:00 /usr/libexec/gsd-housekeeping
fusion      1840    1473  0 10:12 ?        00:00:00 /usr/libexec/gsd-keyboard
fusion      1842    1473  0 10:12 ?        00:00:00 /usr/libexec/gsd-media-keys
fusion      1843    1473  0 10:12 ?        00:00:00 /usr/libexec/gsd-power
fusion      1844    1473  0 10:12 ?        00:00:00 /usr/libexec/gsd-print-notifications
fusion      1847    1473  0 10:12 ?        00:00:00 /usr/libexec/gsd-rfkill
fusion      1851    1473  0 10:12 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
fusion      1853    1473  0 10:12 ?        00:00:00 /usr/libexec/gsd-sharing
fusion      1863    1473  0 10:12 ?        00:00:00 /usr/libexec/gsd-smartcard
fusion      1864    1473  0 10:12 ?        00:00:00 /usr/libexec/gsd-sound
fusion      1866    1473  0 10:12 ?        00:00:00 /usr/libexec/gsd-usb-protection
fusion      1870    1473  0 10:12 ?        00:00:00 /usr/libexec/gsd-wacom
fusion      1871    1473  0 10:12 ?        00:00:00 /usr/libexec/gsd-wwan
fusion      1874    1473  0 10:12 ?        00:00:00 /usr/libexec/gsd-xsettings
fusion      1898    1699  0 10:12 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
fusion      1900    1699  0 10:12 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
fusion      1927    1473  0 10:12 ?        00:00:08 /snap/snap-store/518/usr/bin/snap-store --gapplication-service
fusion      1952    1737  0 10:12 ?        00:00:00 /usr/libexec/ibus-engine-simple
fusion      1981    1473  0 10:12 ?        00:00:00 /usr/libexec/xdg-document-portal
fusion      2009    1473  0 10:12 ?        00:00:00 /usr/libexec/gsd-printer
root        2083       1  0 10:12 ?        00:00:00 /usr/libexec/fwupd/fwupd
fusion      2598    1473  4 10:12 ?        00:02:34 /opt/google/chrome/chrome
fusion      2604    2598  0 10:12 ?        00:00:00 cat
fusion      2605    2598  0 10:12 ?        00:00:00 cat
fusion      2608    2598  0 10:12 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox
fusion      2609    2598  0 10:12 ?        00:00:00 /opt/google/chrome/chrome --type=zygote
fusion      2610    2609  0 10:12 ?        00:00:00 /opt/google/chrome/nacl_helper
fusion      2613    2609  0 10:12 ?        00:00:00 /opt/google/chrome/chrome --type=zygote
fusion      2634    2608  4 10:12 ?        00:02:20 /opt/google/chrome/chrome --type=gpu-process --field-trial-handle=8050602024444388220,17335724096858069405,131072 --gpu-preferences=UAAAAAAAAAAgAAAQAAAAAAAAAAAAAAAAAABgAAAAAAAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --shared-files
fusion      2637    2598  0 10:12 ?        00:00:28 /opt/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=8050602024444388220,17335724096858069405,131072 --lang=en-US --service-sandbox-type=none --shared-files=v8_context_snapshot_data:100
fusion      2655    2613  0 10:12 ?        00:00:01 /opt/google/chrome/chrome --type=utility --utility-sub-type=storage.mojom.StorageService --field-trial-handle=8050602024444388220,17335724096858069405,131072 --lang=en-US --service-sandbox-type=utility --shared-files=v8_context_snapshot_data:100
